"Marka","Model","Przebieg","Rodzaj Paliwa","Skrzynia Biegów","Rok Produkcji","Zdjęcie"
"Alfa Romeo","159","100 000 km","Diesel","Manualna","2006 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-alfa-romeo-159-polski-salon-100-000-km-przebiegu-pelna-historia-ID6G97WJ.html"
"Alfa Romeo","159","173 591 km","Diesel","Manualna","2011 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-1-9jtdm120psoplacony-bezwypadkowy-klima-skory-serwis-vip-gwarancja24-ID6GCEft.html"
"Alfa Romeo","159","187 100 km","Diesel","Manualna","2011 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-2-0mjtd-szyberbosepdcxenon3xklima-ID6GzHul.html"
"Alfa Romeo","159","211 000 km","Diesel","Automatyczna","2009 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-okazja-automat-1-9-diesel-150km-ID6GnNCr.html"
"Alfa Romeo","159","211 000 km","Diesel","Manualna","2009 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-alfa-romeo-159-2009-ID6GqS3u.html"
"Alfa Romeo","159","234 200 km","Diesel","Manualna","2007 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-alfa-romeo-159-1-9-jtdm-174km-ID6GDXou.html"
"Alfa Romeo","159","270 200 km","Diesel","Automatyczna","2008 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-alfa-romeo-159-1-9-jtdm-2008r-ID6GEtDz.html"
"Alfa Romeo","159","274 800 km","Diesel","Manualna","2006 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-1-9-jtd-klimatronic-tempomat-alu-ID6GAB9h.html"
"Alfa Romeo","159","275 426 km","Benzyna","Manualna","2006 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-1-8i-140km-klima-czujniki-pelen-serwis-tempomat-gwarancja-ID6G4vnf.html"
"Alfa Romeo","159 1.8MPI Impression","235 000 km","Benzyna","Manualna","2007 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-1-8-benzyna-sprawna-jezdzaca-ID6GvBHy.html"
"Alfa Romeo","159 1.9 JTDM 16V DPF Q-Tronic ti","239 620 km","Diesel","Automatyczna","2010 ","https://www.otomoto.pl/osobowe/oferta/alfa-romeo-159-ti-q-tronic-ID6GEhT8.html"
