"Marka","Model","Przebieg","Rodzaj Paliwa","Skrzynia Biegów","Rok Produkcji","Zdjęcie"
"renault","Twingo","101 424 km","Benzyna","Manualna","2009 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjhyN2VsbTF4dDdlajEtT1RPTU9UT1BMIn0.D5Aw2Ou8eeVWxOc-KxBMk7Zi7gL0WxrPN8sLjLYsqkc/image;s=320x240"
"renault","Twingo","105 000 km","Benzyna","Automatyczna","2011 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImJpemRoeWYxdjhjaS1PVE9NT1RPUEwifQ.9fD9YmYnYloF8LeeiVv02mL2wrDb6cOLQxgS0tmsRKU/image;s=320x240"
"renault","Twingo","108 000 km","Benzyna","Manualna","1997 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjljNmk5bTBqa250ZS1PVE9NT1RPUEwifQ.1-S-yGxtP-Q4pKBxhQQ4iD6qFwHQY-_aPUQ_snINZTY/image;s=320x240"
"renault","Twingo","113 000 km","Benzyna","Manualna","2018 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImdreTNmbGJnaTl6YjItT1RPTU9UT1BMIn0.IK-KZ1CwID9pW0vN1WcE6TfzkkuegMid-jyknETdBQs/image;s=644x461"
"renault","Twingo","120 212 km","Benzyna","Automatyczna","1957 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZxb2x3NXY4bnU1bDMtT1RPTU9UT1BMIn0.m9OLOz_K6juy1lTJyv3Y2Y4vtSfvTkmMITo5AlGNvn8/image;s=320x240"
"renault","Twingo","136 766 km","Benzyna","Manualna","2008 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNwNzNxdjJ5aDRzOTItT1RPTU9UT1BMIn0.GzP1HW_OB8HnvguX3HrfFteuizYQB7R4BmDMhAT8dX0/image;s=320x240"
"renault","Twingo","149 000 km","Benzyna","Manualna","2017 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImN4MzNpNTc5YTBsMjItT1RPTU9UT1BMIn0.yTdAT8oTyRKIUmcBGxTPiwms6ZhUvDIIx6TAyDuP5-g/image;s=320x240"
"renault","Twingo","165 000 km","Benzyna","Manualna","2007 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRhcTlmbHRrdzlvODItT1RPTU9UT1BMIn0.wP86BeAlR6pbA6FGBFyBBBnFwlwYwyu2HrTVoeUq408/image;s=320x240"
"renault","Twingo","168 000 km","Benzyna","Manualna","2014 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImM5cW00MTQ4ZDhtYzEtT1RPTU9UT1BMIn0.NWMoj3XoSDn1sydQRzJpzU2qbNWyoN_mwN5RCeUqM68/image;s=320x240"
"renault","Twingo","177 000 km","Benzyna","Manualna","2015 ","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImQ5cTNmdDBwMnl1Ny1PVE9NT1RPUEwifQ.vrc_dABMlxQ9vCUV-TVb5cWJ6vXqwscdu5r4o6Gj5_s/image;s=320x240"
